id_representation;id_spectacle;nom_spectacle;jour_representation;heure_representation;horraire_representation;id_cat_representation;date_representation;id_salle;nom_salle
R022;S001;LES FOURBERIES DE SCAPIN;vendredi;20h30;vendredi 20h30;CH003;2025-10-17;SCSR;Salle Richelieu
R023;S001;LES FOURBERIES DE SCAPIN;samedi;20h30;samedi 20h30;CH003;2025-10-18;SCSR;Salle Richelieu
R024;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-10-19;SCSR;Salle Richelieu
R025;S001;LES FOURBERIES DE SCAPIN;lundi;20h30;lundi 20h30;CH002;2025-10-20;SCSR;Salle Richelieu
R026;S001;LES FOURBERIES DE SCAPIN;jeudi;20h30;jeudi 20h30;CH002;2025-10-23;SCSR;Salle Richelieu
R027;S001;LES FOURBERIES DE SCAPIN;samedi;20h30;samedi 20h30;CH003;2025-10-25;SCSR;Salle Richelieu
R028;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-10-26;SCSR;Salle Richelieu
R029;S001;LES FOURBERIES DE SCAPIN;vendredi;20h30;vendredi 20h30;CH003;2025-10-31;SCSR;Salle Richelieu
R030;S001;LES FOURBERIES DE SCAPIN;dimanche;14h00;dimanche 14h00;CH001;2025-11-02;SCSR;Salle Richelieu
R031;S001;LES FOURBERIES DE SCAPIN;lundi;20h30;lundi 20h30;CH002;2025-11-03;SCSR;Salle Richelieu
R032;S001;LES FOURBERIES DE SCAPIN;mercredi;20h30;mercredi 20h30;CH002;2025-11-05;SCSR;Salle Richelieu
R033;S001;LES FOURBERIES DE SCAPIN;samedi;14h00;samedi 14h00;CH001;2025-11-08;SCSR;Salle Richelieu
R034;S001;LES FOURBERIES DE SCAPIN;mardi;20h30;mardi 20h30;CH002;2025-11-11;SCSR;Salle Richelieu
R035;S001;LES FOURBERIES DE SCAPIN;mercredi;20h30;mercredi 20h30;CH002;2025-11-12;SCSR;Salle Richelieu
R036;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-11-16;SCSR;Salle Richelieu
R037;S001;LES FOURBERIES DE SCAPIN;mercredi;14h00;mercredi 14h00;CH001;2025-11-19;SCSR;Salle Richelieu
R038;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-11-23;SCSR;Salle Richelieu
R039;S001;LES FOURBERIES DE SCAPIN;mercredi;14h00;mercredi 14h00;CH001;2025-11-26;SCSR;Salle Richelieu
R040;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-11-30;SCSR;Salle Richelieu
R041;S001;LES FOURBERIES DE SCAPIN;mercredi;14h00;mercredi 14h00;CH001;2025-12-03;SCSR;Salle Richelieu
R042;S001;LES FOURBERIES DE SCAPIN;samedi;14h00;samedi 14h00;CH001;2025-12-06;SCSR;Salle Richelieu
R043;S001;LES FOURBERIES DE SCAPIN;mercredi;14h00;mercredi 14h00;CH001;2025-12-10;SCSR;Salle Richelieu
R044;S001;LES FOURBERIES DE SCAPIN;dimanche;14h00;dimanche 14h00;CH001;2025-12-14;SCSR;Salle Richelieu
R045;S001;LES FOURBERIES DE SCAPIN;lundi;20h30;lundi 20h30;CH002;2025-12-15;SCSR;Salle Richelieu
R046;S001;LES FOURBERIES DE SCAPIN;mercredi;14h00;mercredi 14h00;CH001;2025-12-17;SCSR;Salle Richelieu
R047;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-12-21;SCSR;Salle Richelieu
R048;S001;LES FOURBERIES DE SCAPIN;mardi;14h00;mardi 14h00;CH001;2025-12-23;SCSR;Salle Richelieu
R049;S001;LES FOURBERIES DE SCAPIN;mercredi;20h30;mercredi 20h30;CH002;2025-12-24;SCSR;Salle Richelieu
R050;S001;LES FOURBERIES DE SCAPIN;samedi;14h00;samedi 14h00;CH001;2025-12-27;SCSR;Salle Richelieu
R051;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-12-28;SCSR;Salle Richelieu
R052;S001;LES FOURBERIES DE SCAPIN;mercredi;14h00;mercredi 14h00;CH001;2025-12-31;SCSR;Salle Richelieu
R053;S001;LES FOURBERIES DE SCAPIN;dimanche;14h00;dimanche 14h00;CH001;2026-01-04;SCSR;Salle Richelieu
R054;S001;LES FOURBERIES DE SCAPIN;mardi;20h30;mardi 20h30;CH002;2026-01-06;SCSR;Salle Richelieu
R055;S001;LES FOURBERIES DE SCAPIN;mercredi;20h30;mercredi 20h30;CH002;2026-01-07;SCSR;Salle Richelieu
R056;S001;LES FOURBERIES DE SCAPIN;vendredi;20h30;vendredi 20h30;CH003;2026-01-09;SCSR;Salle Richelieu
R057;S001;LES FOURBERIES DE SCAPIN;samedi;14h00;samedi 14h00;CH001;2026-01-10;SCSR;Salle Richelieu
R058;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2026-01-11;SCSR;Salle Richelieu
R059;S001;LES FOURBERIES DE SCAPIN;mardi;20h30;mardi 20h30;CH002;2026-01-13;SCSR;Salle Richelieu
R060;S001;LES FOURBERIES DE SCAPIN;mercredi;20h30;mercredi 20h30;CH002;2026-01-14;SCSR;Salle Richelieu
R061;S002;UNE MOUETTE;vendredi;20h30;vendredi 20h30;CH003;2025-09-19;SCSR;Salle Richelieu
R062;S002;UNE MOUETTE;dimanche;14h00;dimanche 14h00;CH001;2025-09-21;SCSR;Salle Richelieu
R063;S002;UNE MOUETTE;mercredi;20h30;mercredi 20h30;CH002;2025-09-24;SCSR;Salle Richelieu
R064;S002;UNE MOUETTE;samedi;14h00;samedi 14h00;CH001;2025-09-27;SCSR;Salle Richelieu
R065;S002;UNE MOUETTE;dimanche;20h30;dimanche 20h30;CH004;2025-09-28;SCSR;Salle Richelieu
R066;S002;UNE MOUETTE;lundi;20h30;lundi 20h30;CH002;2025-09-29;SCSR;Salle Richelieu
R067;S002;UNE MOUETTE;dimanche;14h00;dimanche 14h00;CH001;2025-10-05;SCSR;Salle Richelieu
R068;S002;UNE MOUETTE;mardi;20h30;mardi 20h30;CH002;2025-10-07;SCSR;Salle Richelieu
R069;S002;UNE MOUETTE;samedi;20h30;samedi 20h30;CH003;2025-10-11;SCSR;Salle Richelieu
R070;S002;UNE MOUETTE;lundi;20h30;lundi 20h30;CH002;2025-10-13;SCSR;Salle Richelieu
R071;S002;UNE MOUETTE;samedi;14h00;samedi 14h00;CH001;2025-10-18;SCSR;Salle Richelieu
R072;S002;UNE MOUETTE;vendredi;20h30;vendredi 20h30;CH003;2025-10-24;SCSR;Salle Richelieu
R073;S002;UNE MOUETTE;dimanche;14h00;dimanche 14h00;CH001;2025-10-26;SCSR;Salle Richelieu
R074;S002;UNE MOUETTE;mercredi;20h30;mercredi 20h30;CH002;2025-10-29;SCSR;Salle Richelieu
R075;S002;UNE MOUETTE;samedi;14h00;samedi 14h00;CH001;2025-11-01;SCSR;Salle Richelieu
R076;S002;UNE MOUETTE;vendredi;20h30;vendredi 20h30;CH003;2025-11-07;SCSR;Salle Richelieu
R077;S002;UNE MOUETTE;dimanche;14h00;dimanche 14h00;CH001;2025-11-09;SCSR;Salle Richelieu
R078;S002;UNE MOUETTE;mardi;14h00;mardi 14h00;CH001;2025-11-11;SCSR;Salle Richelieu
R079;S002;UNE MOUETTE;samedi;14h00;samedi 14h00;CH001;2025-11-15;SCSR;Salle Richelieu
R080;S002;UNE MOUETTE;mardi;20h30;mardi 20h30;CH002;2025-11-18;SCSR;Salle Richelieu
R081;S002;UNE MOUETTE;samedi;20h30;samedi 20h30;CH003;2025-11-22;SCSR;Salle Richelieu
R082;S002;UNE MOUETTE;lundi;20h30;lundi 20h30;CH002;2025-11-24;SCSR;Salle Richelieu
R083;S002;UNE MOUETTE;dimanche;14h00;dimanche 14h00;CH001;2025-11-30;SCSR;Salle Richelieu
R084;S002;UNE MOUETTE;mercredi;20h30;mercredi 20h30;CH002;2025-12-03;SCSR;Salle Richelieu
R085;S002;UNE MOUETTE;samedi;20h30;samedi 20h30;CH003;2025-12-13;SCSR;Salle Richelieu
R086;S002;UNE MOUETTE;samedi;20h30;samedi 20h30;CH003;2025-12-20;SCSR;Salle Richelieu
R087;S002;UNE MOUETTE;mardi;20h30;mardi 20h30;CH002;2025-12-23;SCSR;Salle Richelieu
R088;S002;UNE MOUETTE;vendredi;14h00;vendredi 14h00;CH001;2025-12-26;SCSR;Salle Richelieu
R089;S002;UNE MOUETTE;mardi;20h30;mardi 20h30;CH002;2025-12-30;SCSR;Salle Richelieu
R090;S002;UNE MOUETTE;dimanche;20h30;dimanche 20h30;CH004;2026-01-04;SCSR;Salle Richelieu
R091;S002;UNE MOUETTE;jeudi;20h30;jeudi 20h30;CH002;2026-01-08;SCSR;Salle Richelieu
R092;S002;UNE MOUETTE;samedi;20h30;samedi 20h30;CH003;2026-01-10;SCSR;Salle Richelieu
R093;S002;UNE MOUETTE;dimanche;14h00;dimanche 14h00;CH001;2026-01-11;SCSR;Salle Richelieu
R094;S003;LE MISANTHROPE;vendredi;20h30;vendredi 20h30;CH003;2025-10-03;SCSR;Salle Richelieu
R095;S003;LE MISANTHROPE;samedi;20h30;samedi 20h30;CH003;2025-10-04;SCSR;Salle Richelieu
R096;S003;LE MISANTHROPE;lundi;20h30;lundi 20h30;CH002;2025-10-06;SCSR;Salle Richelieu
R097;S003;LE MISANTHROPE;mercredi;20h30;mercredi 20h30;CH002;2025-10-08;SCSR;Salle Richelieu
R098;S003;LE MISANTHROPE;vendredi;20h30;vendredi 20h30;CH003;2025-10-10;SCSR;Salle Richelieu
R099;S003;LE MISANTHROPE;dimanche;14h00;dimanche 14h00;CH001;2025-10-12;SCSR;Salle Richelieu
R100;S003;LE MISANTHROPE;mardi;20h30;mardi 20h30;CH002;2025-10-14;SCSR;Salle Richelieu
R101;S003;LE MISANTHROPE;jeudi;20h30;jeudi 20h30;CH002;2025-10-16;SCSR;Salle Richelieu
R102;S003;LE MISANTHROPE;dimanche;14h00;dimanche 14h00;CH001;2025-10-19;SCSR;Salle Richelieu
R103;S003;LE MISANTHROPE;mardi;20h30;mardi 20h30;CH002;2025-10-21;SCSR;Salle Richelieu
R104;S003;LE MISANTHROPE;mercredi;20h30;mercredi 20h30;CH002;2025-10-22;SCSR;Salle Richelieu
R105;S003;LE MISANTHROPE;samedi;14h00;samedi 14h00;CH001;2025-10-25;SCSR;Salle Richelieu
R106;S003;LE MISANTHROPE;lundi;20h30;lundi 20h30;CH002;2025-10-27;SCSR;Salle Richelieu
R107;S003;LE MISANTHROPE;jeudi;20h30;jeudi 20h30;CH002;2025-10-30;SCSR;Salle Richelieu
R108;S003;LE MISANTHROPE;samedi;20h30;samedi 20h30;CH003;2025-11-01;SCSR;Salle Richelieu
R109;S003;LE MISANTHROPE;dimanche;20h30;dimanche 20h30;CH004;2025-11-02;SCSR;Salle Richelieu
R110;S003;LE MISANTHROPE;mardi;20h30;mardi 20h30;CH002;2025-11-04;SCSR;Salle Richelieu
R111;S003;LE MISANTHROPE;jeudi;20h30;jeudi 20h30;CH002;2025-11-06;SCSR;Salle Richelieu
R112;S003;LE MISANTHROPE;samedi;20h30;samedi 20h30;CH003;2025-11-08;SCSR;Salle Richelieu
R113;S003;LE MISANTHROPE;dimanche;20h30;dimanche 20h30;CH004;2025-11-09;SCSR;Salle Richelieu
R114;S003;LE MISANTHROPE;lundi;20h30;lundi 20h30;CH002;2025-11-10;SCSR;Salle Richelieu
R115;S003;LE MISANTHROPE;dimanche;14h00;dimanche 14h00;CH001;2025-11-16;SCSR;Salle Richelieu
R116;S003;LE MISANTHROPE;jeudi;20h30;jeudi 20h30;CH002;2025-11-20;SCSR;Salle Richelieu
R117;S003;LE MISANTHROPE;samedi;14h00;samedi 14h00;CH001;2025-11-22;SCSR;Salle Richelieu
R118;S003;LE MISANTHROPE;samedi;14h00;samedi 14h00;CH001;2025-11-29;SCSR;Salle Richelieu
R119;S003;LE MISANTHROPE;vendredi;20h30;vendredi 20h30;CH003;2025-12-05;SCSR;Salle Richelieu
R120;S003;LE MISANTHROPE;dimanche;14h00;dimanche 14h00;CH001;2025-12-07;SCSR;Salle Richelieu
R121;S003;LE MISANTHROPE;lundi;20h30;lundi 20h30;CH002;2025-12-08;SCSR;Salle Richelieu
R122;S003;LE MISANTHROPE;mercredi;20h30;mercredi 20h30;CH002;2025-12-10;SCSR;Salle Richelieu
R123;S003;LE MISANTHROPE;vendredi;20h30;vendredi 20h30;CH003;2025-12-12;SCSR;Salle Richelieu
R124;S003;LE MISANTHROPE;jeudi;20h30;jeudi 20h30;CH002;2025-12-18;SCSR;Salle Richelieu
R125;S003;LE MISANTHROPE;dimanche;14h00;dimanche 14h00;CH001;2025-12-21;SCSR;Salle Richelieu
R126;S003;LE MISANTHROPE;lundi;14h00;lundi 14h00;CH001;2025-12-22;SCSR;Salle Richelieu
R127;S003;LE MISANTHROPE;mercredi;14h00;mercredi 14h00;CH001;2025-12-24;SCSR;Salle Richelieu
R128;S003;LE MISANTHROPE;jeudi;20h30;jeudi 20h30;CH002;2025-12-25;SCSR;Salle Richelieu
R129;S003;LE MISANTHROPE;samedi;20h30;samedi 20h30;CH003;2025-12-27;SCSR;Salle Richelieu
R130;S003;LE MISANTHROPE;Jeudi;14h00;Jeudi 14h00;CH001;2026-01-01;SCSR;Salle Richelieu
R131;S003;LE MISANTHROPE;samedi;14h00;samedi 14h00;CH001;2026-01-03;SCSR;Salle Richelieu
R132;S004;L’ÉCOLE DE DANSE;vendredi;20h30;vendredi 20h30;CH003;2025-11-14;SCSR;Salle Richelieu
R133;S004;L’ÉCOLE DE DANSE;samedi;20h30;samedi 20h30;CH003;2025-11-15;SCSR;Salle Richelieu
R134;S004;L’ÉCOLE DE DANSE;lundi;20h30;lundi 20h30;CH002;2025-11-17;SCSR;Salle Richelieu
R135;S004;L’ÉCOLE DE DANSE;mercredi;20h30;mercredi 20h30;CH002;2025-11-19;SCSR;Salle Richelieu
R136;S004;L’ÉCOLE DE DANSE;vendredi;20h30;vendredi 20h30;CH003;2025-11-21;SCSR;Salle Richelieu
R137;S004;L’ÉCOLE DE DANSE;dimanche;14h00;dimanche 14h00;CH001;2025-11-23;SCSR;Salle Richelieu
R138;S004;L’ÉCOLE DE DANSE;mardi;20h30;mardi 20h30;CH002;2025-11-25;SCSR;Salle Richelieu
R139;S004;L’ÉCOLE DE DANSE;mercredi;20h30;mercredi 20h30;CH002;2025-11-26;SCSR;Salle Richelieu
R140;S004;L’ÉCOLE DE DANSE;jeudi;20h30;jeudi 20h30;CH002;2025-11-27;SCSR;Salle Richelieu
R141;S004;L’ÉCOLE DE DANSE;vendredi;20h30;vendredi 20h30;CH003;2025-11-28;SCSR;Salle Richelieu
R142;S004;L’ÉCOLE DE DANSE;samedi;20h30;samedi 20h30;CH003;2025-11-29;SCSR;Salle Richelieu
R143;S004;L’ÉCOLE DE DANSE;lundi;20h30;lundi 20h30;CH002;2025-12-01;SCSR;Salle Richelieu
R144;S004;L’ÉCOLE DE DANSE;mardi;20h30;mardi 20h30;CH002;2025-12-02;SCSR;Salle Richelieu
R145;S004;L’ÉCOLE DE DANSE;jeudi;20h30;jeudi 20h30;CH002;2025-12-04;SCSR;Salle Richelieu
R146;S004;L’ÉCOLE DE DANSE;samedi;20h30;samedi 20h30;CH003;2025-12-06;SCSR;Salle Richelieu
R147;S004;L’ÉCOLE DE DANSE;dimanche;20h30;dimanche 20h30;CH004;2025-12-07;SCSR;Salle Richelieu
R148;S004;L’ÉCOLE DE DANSE;mardi;20h30;mardi 20h30;CH002;2025-12-09;SCSR;Salle Richelieu
R149;S004;L’ÉCOLE DE DANSE;jeudi;20h30;jeudi 20h30;CH002;2025-12-11;SCSR;Salle Richelieu
R150;S004;L’ÉCOLE DE DANSE;dimanche;20h30;dimanche 20h30;CH004;2025-12-14;SCSR;Salle Richelieu
R151;S004;L’ÉCOLE DE DANSE;mardi;20h30;mardi 20h30;CH002;2025-12-16;SCSR;Salle Richelieu
R152;S004;L’ÉCOLE DE DANSE;mercredi;20h30;mercredi 20h30;CH002;2025-12-17;SCSR;Salle Richelieu
R153;S004;L’ÉCOLE DE DANSE;vendredi;20h30;vendredi 20h30;CH003;2025-12-19;SCSR;Salle Richelieu
R154;S004;L’ÉCOLE DE DANSE;samedi;14h00;samedi 14h00;CH001;2025-12-20;SCSR;Salle Richelieu
R155;S004;L’ÉCOLE DE DANSE;lundi;20h30;lundi 20h30;CH002;2025-12-22;SCSR;Salle Richelieu
R156;S004;L’ÉCOLE DE DANSE;jeudi;14h00;jeudi 14h00;CH001;2025-12-25;SCSR;Salle Richelieu
R157;S004;L’ÉCOLE DE DANSE;vendredi;20h30;vendredi 20h30;CH003;2025-12-26;SCSR;Salle Richelieu
R158;S004;L’ÉCOLE DE DANSE;dimanche;14h00;dimanche 14h00;CH001;2025-12-28;SCSR;Salle Richelieu
R159;S004;L’ÉCOLE DE DANSE;lundi;20h30;lundi 20h30;CH002;2025-12-29;SCSR;Salle Richelieu
R160;S004;L’ÉCOLE DE DANSE;mercredi;20h30;mercredi 20h30;CH002;2025-12-31;SCSR;Salle Richelieu
R161;S004;L’ÉCOLE DE DANSE;Jeudi;20h30;Jeudi 20h30;CH002;2026-01-01;SCSR;Salle Richelieu
R162;S004;L’ÉCOLE DE DANSE;vendredi;20h30;vendredi 20h30;CH003;2026-01-02;SCSR;Salle Richelieu
R163;S004;L’ÉCOLE DE DANSE;samedi;20h30;samedi 20h30;CH003;2026-01-03;SCSR;Salle Richelieu
R164;S005;LE MARIAGE FORCÉ;mercredi;20h30;mercredi 20h30;CH002;2025-09-17;STVC;Théâtre du Vieux-Colombier
R165;S005;LE MARIAGE FORCÉ;jeudi;20h30;jeudi 20h30;CH002;2025-09-18;STVC;Théâtre du Vieux-Colombier
R166;S005;LE MARIAGE FORCÉ;vendredi;20h30;vendredi 20h30;CH003;2025-09-19;STVC;Théâtre du Vieux-Colombier
R167;S005;LE MARIAGE FORCÉ;samedi;20h30;samedi 20h30;CH003;2025-09-20;STVC;Théâtre du Vieux-Colombier
R168;S005;LE MARIAGE FORCÉ;dimanche;15h00;dimanche 15h00;CH001;2025-09-21;STVC;Théâtre du Vieux-Colombier
R169;S005;LE MARIAGE FORCÉ;mardi;19h00;mardi 19h00;CH001;2025-09-23;STVC;Théâtre du Vieux-Colombier
R170;S005;LE MARIAGE FORCÉ;mercredi;20h30;mercredi 20h30;CH002;2025-09-24;STVC;Théâtre du Vieux-Colombier
R171;S005;LE MARIAGE FORCÉ;jeudi;20h30;jeudi 20h30;CH002;2025-09-25;STVC;Théâtre du Vieux-Colombier
R172;S005;LE MARIAGE FORCÉ;vendredi;20h30;vendredi 20h30;CH003;2025-09-26;STVC;Théâtre du Vieux-Colombier
R173;S005;LE MARIAGE FORCÉ;samedi;20h30;samedi 20h30;CH003;2025-09-27;STVC;Théâtre du Vieux-Colombier
R174;S005;LE MARIAGE FORCÉ;dimanche;15h00;dimanche 15h00;CH001;2025-09-28;STVC;Théâtre du Vieux-Colombier
R175;S005;LE MARIAGE FORCÉ;mardi;19h00;mardi 19h00;CH001;2025-09-30;STVC;Théâtre du Vieux-Colombier
R176;S005;LE MARIAGE FORCÉ;mercredi;20h30;mercredi 20h30;CH002;2025-10-01;STVC;Théâtre du Vieux-Colombier
R177;S005;LE MARIAGE FORCÉ;jeudi;20h30;jeudi 20h30;CH002;2025-10-02;STVC;Théâtre du Vieux-Colombier
R178;S005;LE MARIAGE FORCÉ;vendredi;20h30;vendredi 20h30;CH003;2025-10-03;STVC;Théâtre du Vieux-Colombier
R179;S005;LE MARIAGE FORCÉ;samedi;20h30;samedi 20h30;CH003;2025-10-04;STVC;Théâtre du Vieux-Colombier
R180;S005;LE MARIAGE FORCÉ;dimanche;15h00;dimanche 15h00;CH001;2025-10-05;STVC;Théâtre du Vieux-Colombier
R181;S005;LE MARIAGE FORCÉ;mardi;19h00;mardi 19h00;CH001;2025-10-07;STVC;Théâtre du Vieux-Colombier
R182;S005;LE MARIAGE FORCÉ;mercredi;20h30;mercredi 20h30;CH002;2025-10-08;STVC;Théâtre du Vieux-Colombier
R183;S005;LE MARIAGE FORCÉ;jeudi;20h30;jeudi 20h30;CH002;2025-10-09;STVC;Théâtre du Vieux-Colombier
R184;S005;LE MARIAGE FORCÉ;vendredi;20h30;vendredi 20h30;CH003;2025-10-10;STVC;Théâtre du Vieux-Colombier
R185;S005;LE MARIAGE FORCÉ;samedi;20h30;samedi 20h30;CH003;2025-10-11;STVC;Théâtre du Vieux-Colombier
R186;S005;LE MARIAGE FORCÉ;dimanche;15h00;dimanche 15h00;CH001;2025-10-12;STVC;Théâtre du Vieux-Colombier
R187;S005;LE MARIAGE FORCÉ;mardi;19h00;mardi 19h00;CH001;2025-10-14;STVC;Théâtre du Vieux-Colombier
R188;S005;LE MARIAGE FORCÉ;mercredi;20h30;mercredi 20h30;CH002;2025-10-15;STVC;Théâtre du Vieux-Colombier
R189;S005;LE MARIAGE FORCÉ;jeudi;20h30;jeudi 20h30;CH002;2025-10-16;STVC;Théâtre du Vieux-Colombier
R190;S005;LE MARIAGE FORCÉ;vendredi;20h30;vendredi 20h30;CH003;2025-10-17;STVC;Théâtre du Vieux-Colombier
R191;S005;LE MARIAGE FORCÉ;samedi;20h30;samedi 20h30;CH003;2025-10-18;STVC;Théâtre du Vieux-Colombier
R192;S005;LE MARIAGE FORCÉ;dimanche;15h00;dimanche 15h00;CH001;2025-10-19;STVC;Théâtre du Vieux-Colombier
R193;S005;LE MARIAGE FORCÉ;mardi;19h00;mardi 19h00;CH001;2025-10-21;STVC;Théâtre du Vieux-Colombier
R194;S005;LE MARIAGE FORCÉ;mercredi;20h30;mercredi 20h30;CH002;2025-10-22;STVC;Théâtre du Vieux-Colombier
R195;S005;LE MARIAGE FORCÉ;jeudi;20h30;jeudi 20h30;CH002;2025-10-23;STVC;Théâtre du Vieux-Colombier
R196;S005;LE MARIAGE FORCÉ;vendredi;20h30;vendredi 20h30;CH003;2025-10-24;STVC;Théâtre du Vieux-Colombier
R197;S005;LE MARIAGE FORCÉ;samedi;20h30;samedi 20h30;CH003;2025-10-25;STVC;Théâtre du Vieux-Colombier
R198;S005;LE MARIAGE FORCÉ;dimanche;15h00;dimanche 15h00;CH001;2025-10-26;STVC;Théâtre du Vieux-Colombier
R199;S005;LE MARIAGE FORCÉ;mardi;19h00;mardi 19h00;CH001;2025-10-28;STVC;Théâtre du Vieux-Colombier
R200;S005;LE MARIAGE FORCÉ;mercredi;20h30;mercredi 20h30;CH002;2025-10-29;STVC;Théâtre du Vieux-Colombier
R201;S005;LE MARIAGE FORCÉ;jeudi;20h30;jeudi 20h30;CH002;2025-10-30;STVC;Théâtre du Vieux-Colombier
R202;S005;LE MARIAGE FORCÉ;vendredi;20h30;vendredi 20h30;CH003;2025-10-31;STVC;Théâtre du Vieux-Colombier
R203;S005;LE MARIAGE FORCÉ;samedi;20h30;samedi 20h30;CH003;2025-11-01;STVC;Théâtre du Vieux-Colombier
R204;S005;LE MARIAGE FORCÉ;dimanche;15h00;dimanche 15h00;CH001;2025-11-02;STVC;Théâtre du Vieux-Colombier
R205;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mercredi;19h00;mercredi 19h00;CH001;2025-11-26;STVC;Théâtre du Vieux-Colombier
R206;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;jeudi;19h00;jeudi 19h00;CH001;2025-11-27;STVC;Théâtre du Vieux-Colombier
R207;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;vendredi;19h00;vendredi 19h00;CH001;2025-11-28;STVC;Théâtre du Vieux-Colombier
R208;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;samedi;19h00;samedi 19h00;CH001;2025-11-29;STVC;Théâtre du Vieux-Colombier
R209;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;dimanche;15h00;dimanche 15h00;CH001;2025-11-30;STVC;Théâtre du Vieux-Colombier
R210;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mardi;19h00;mardi 19h00;CH001;2025-12-02;STVC;Théâtre du Vieux-Colombier
R211;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mercredi;19h00;mercredi 19h00;CH001;2025-12-03;STVC;Théâtre du Vieux-Colombier
R212;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;jeudi;19h00;jeudi 19h00;CH001;2025-12-04;STVC;Théâtre du Vieux-Colombier
R213;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;vendredi;19h00;vendredi 19h00;CH001;2025-12-05;STVC;Théâtre du Vieux-Colombier
